Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
821,Tommy Wingels\wingeto01,24,SJS,C,42,5,8,13,-9,26,0.8,4,0,1,0,7,1,0,69,7.2,598,14:14,32,115,4,12,25.0
822,Daniel Winnik\winnida01,27,ANA,C,48,6,13,19,13,16,1.9,6,0,0,1,13,0,0,95,6.3,808,16:50,37,63,16,37,30.2
823,James Wisniewski\wisnija01,28,CBJ,D,30,5,9,14,-1,15,2.8,1,4,0,0,7,1,1,62,8.1,685,22:50,48,53,0,0,
824,Wojtek Wolski\wolskwo01,26,WSH,LW,27,4,5,9,1,6,0.8,4,0,0,2,4,1,0,49,8.2,360,13:21,9,5,1,4,20.0
825,James Wright\wrighja02,22,WPG,C,38,2,3,5,-5,31,-0.2,2,0,0,0,3,0,0,32,6.3,441,11:36,17,43,22,24,47.8
826,J.T. Wyman\wymanja01,26,TBL,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,14,13:31,0,0,7,4,63.6
827,Nail Yakupov\yakupna01,19,EDM,RW,48,17,14,31,-4,24,4.0,11,6,0,2,10,4,0,81,21.0,699,14:34,14,41,0,6,0.0
828,Keith Yandle\yandlke01,26,PHX,D,48,10,20,30,4,54,5.6,5,5,0,3,15,5,0,130,7.7,1068,22:15,40,18,0,0,
829,Brandon Yip\yipbr01,27,NSH,RW,34,3,5,8,-3,26,0.4,3,0,0,0,5,0,0,35,8.6,409,12:02,7,46,8,13,38.1
830,Nolan Yonkman\yonkmno01,31,FLA,D,7,0,0,0,-1,11,0.0,0,0,0,0,0,0,0,4,0.0,68,9:46,2,12,0,0,
831,Travis Zajac\zajactr01,27,NJD,C,48,7,13,20,-5,22,1.6,5,1,1,1,10,3,0,82,8.5,938,19:32,10,33,506,375,57.4
832,Greg Zanon\zanongr01,32,COL,D,44,0,6,6,-16,28,0.0,0,0,0,0,5,0,1,40,0.0,851,19:20,124,65,0,0,
833,Henrik Zetterberg\zettehe01,32,DET,LW,46,11,37,48,2,18,5.2,5,4,2,5,18,19,0,173,6.4,944,20:31,10,20,263,281,48.3
834,Mika Zibanejad\zibanmi01,19,OTT,C,42,7,13,20,9,6,2.5,4,3,0,0,12,1,0,90,7.8,570,13:34,19,82,159,184,46.4
835,Marek Zidlicky\zidlima01,35,NJD,D,48,4,15,19,-12,38,3.0,3,1,0,0,5,10,0,101,4.0,1008,21:00,42,52,0,0,
836,Harry Zolnierczyk\zolniha01,25,PHI,LW,7,0,1,1,0,36,0.0,0,0,0,0,1,0,0,4,0.0,52,7:22,3,7,0,0,
837,Dainius Zubrus\zubruda01,34,NJD,RW,22,2,7,9,-3,12,0.6,2,0,0,0,5,0,2,22,9.1,369,16:47,9,31,11,17,39.3
838,Mats Zuccarello\zuccama01,25,NYR,LW,15,3,5,8,10,8,1.3,3,0,0,0,3,1,1,27,11.1,246,16:25,15,27,0,4,0.0
839,Jason Zucker\zuckeja01,21,MIN,LW,20,4,1,5,4,8,0.8,4,0,0,0,1,0,0,34,11.8,225,11:16,5,11,0,1,0.0
